Tanggal,Waktu,Response,Protocol,IP,Port,Byte,Domain
23-feb-2022,22:15:15.000,aq,udp,61.220.8.172,37784,53,ip-239-240.jalanet.co.id
23-feb-2022,22:15:14.000,aq,udp,61.220.11.67,11919,46,mail.delta.net.id
23-feb-2022,22:15:14.000,aq,udp,104.123.67.11,41568,48,thumbor.prod.vid.id
23-feb-2022,22:15:14.000,aq,udp,61.220.9.170,12142,40,brluu.co.id
23-feb-2022,22:15:14.000,aq,udp,216.131.106.197,64297,41,shopee.co.id
23-feb-2022,22:15:14.000,aq,udp,104.123.67.19,48632,51,static-web.prod.vid.id
23-feb-2022,22:15:14.000,aq,udp,61.220.10.18,49847,38,guw.co.id
23-feb-2022,22:15:14.000,aq,udp,211.16.9.86,21502,64,data-1c0a3d83e3.transfermarkt.co.id
23-feb-2022,22:15:15.000,aq,tcp,61.220.4.52,51833,49,www.flashscore.co.id
23-feb-2022,22:15:14.000,aq,tcp,61.220.9.170,49067,40,brluu.co.id
23-feb-2022,22:15:15.000,aq,tcp,61.220.0.193,43399,47,logging.baca.co.id
23-feb-2022,22:15:15.000,aq,tcp,106.241.133.25,35863,40,ebxyn.co.id
23-feb-2022,22:15:14.000,aq,tcp,61.111.20.144,50785,40,guwy9.co.id
23-feb-2022,22:15:14.000,aq,tcp,61.220.10.18,45205,38,guw.co.id
23-feb-2022,22:15:15.000,ar,udp,61.220.8.172,37784,723,ip-239-240.jalanet.co.id
23-feb-2022,22:15:14.000,ar,udp,61.220.11.67,11919,764,mail.delta.net.id
23-feb-2022,22:15:14.000,ar,udp,104.123.67.11,41568,188,thumbor.prod.vid.id
23-feb-2022,22:15:14.000,ar,udp,61.220.9.170,12142,724,brluu.co.id
23-feb-2022,22:15:14.000,ar,udp,216.131.106.197,64297,773,shopee.co.id
23-feb-2022,22:15:14.000,ar,udp,104.123.67.19,48632,191,static-web.prod.vid.id
23-feb-2022,22:15:14.000,ar,udp,61.220.10.18,49847,724,guw.co.id
23-feb-2022,22:15:14.000,ar,udp,211.16.9.86,21502,155,data-1c0a3d83e3.transfermarkt.co.id
23-feb-2022,22:15:15.000,ar,tcp,61.220.4.52,51833,720,www.flashscore.co.id
23-feb-2022,22:15:14.000,ar,tcp,61.220.9.170,49067,1822,brluu.co.id
23-feb-2022,22:15:15.000,ar,tcp,61.220.0.193,43399,775,logging.baca.co.id
23-feb-2022,22:15:15.000,ar,tcp,106.241.133.25,35863,1822,ebxyn.co.id
23-feb-2022,22:15:14.000,ar,tcp,61.111.20.144,50785,1824,guwy9.co.id
23-feb-2022,22:15:14.000,ar,tcp,61.220.10.18,45205,1822,guw.co.id
23-feb-2022,22:15:15.000,aq,udp,61.220.10.8,6220,47,img.cdn.baca.co.id
23-feb-2022,22:15:14.000,aq,udp,141.0.8.22,51202,44,banjarkab.go.id
23-feb-2022,22:15:15.000,aq,udp,104.123.67.11,46987,48,thumbor.prod.vid.id
23-feb-2022,22:15:14.000,aq,udp,216.131.106.197,61886,41,shopee.co.id
23-feb-2022,22:15:14.000,aq,udp,211.16.9.86,20197,64,data-1c0a3d83e3.transfermarkt.co.id
23-feb-2022,22:15:15.000,aq,udp,207.102.138.19,46632,51,thehaulingchicks.co.id
23-feb-2022,22:15:14.000,aq,udp,211.16.9.169,19828,35,vir.id
23-feb-2022,22:15:15.000,aq,udp,104.238.187.179,60283,49,ns5.cilacapkab.go.id
23-feb-2022,22:15:15.000,aq,tcp,207.102.138.19,47135,50,thegirlinaction.co.id
23-feb-2022,22:15:15.000,aq,tcp,207.102.138.19,33992,51,thehaulingchicks.co.id
23-feb-2022,22:15:15.000,aq,tcp,61.220.8.117,49710,39,ebxy.co.id
23-feb-2022,22:15:15.000,ar,udp,61.220.10.8,6220,775,img.cdn.baca.co.id
23-feb-2022,22:15:14.000,ar,udp,141.0.8.22,51202,755,banjarkab.go.id
23-feb-2022,22:15:15.000,ar,udp,104.123.67.11,46987,188,thumbor.prod.vid.id
23-feb-2022,22:15:14.000,ar,udp,216.131.106.197,61886,773,shopee.co.id
23-feb-2022,22:15:14.000,ar,udp,211.16.9.86,20197,155,data-1c0a3d83e3.transfermarkt.co.id
23-feb-2022,22:15:15.000,ar,udp,207.102.138.19,46632,750,thehaulingchicks.co.id
23-feb-2022,22:15:14.000,ar,udp,211.16.9.169,19828,94,vir.id
23-feb-2022,22:15:15.000,ar,udp,104.238.187.179,60283,735,ns5.cilacapkab.go.id
23-feb-2022,22:15:15.000,ar,tcp,207.102.138.19,47135,1841,thegirlinaction.co.id
23-feb-2022,22:15:15.000,ar,tcp,207.102.138.19,33992,1848,thehaulingchicks.co.id
23-feb-2022,22:15:15.000,ar,tcp,61.220.8.117,49710,1821,ebxy.co.id
23-feb-2022,22:15:15.000,aq,udp,207.102.138.19,65486,53,thegoddessmistress.co.id
23-feb-2022,22:15:14.000,aq,udp,61.220.8.114,36252,59,cfcapex01.id01.chailease.co.id
23-feb-2022,22:15:15.000,aq,udp,168.95.43.173,49978,45,circlecom.net.id
23-feb-2022,22:15:15.000,aq,udp,207.102.138.19,30781,50,thegirlinaction.co.id
23-feb-2022,22:15:15.000,aq,udp,35.208.135.3,38673,58,ns2.telkom.net.id
23-feb-2022,22:15:15.000,aq,udp,61.220.4.68,3540,49,www.flashscore.co.id
23-feb-2022,22:15:15.000,aq,udp,23.237.137.204,19125,37,paras.id
23-feb-2022,22:15:15.000,aq,udp,61.220.8.117,57296,39,ebxy.co.id
23-feb-2022,22:15:15.000,ar,udp,207.102.138.19,65486,753,thegoddessmistress.co.id
